Wall time,Step,Value
1626951363.3754323,0,0.42291954159736633
1626953616.152742,1,1.7641477584838867
1626955867.4851718,2,3.135507345199585
1626958121.3362274,3,4.71052360534668
1626960398.5370731,4,6.606785297393799
1626962667.1553276,5,8.334466934204102
1626964935.467022,6,9.768715858459473
1626967203.0212028,7,11.285323143005371
1626969477.6092916,8,12.78400707244873
1626971746.6335604,9,14.10051155090332
1626974025.0162687,10,15.421807289123535
1626976294.2070482,11,16.576993942260742
1626978576.0279677,12,17.72383689880371
1626980854.120158,13,18.719560623168945
1626983132.3165956,14,19.56292724609375
1626985412.0536919,15,20.220096588134766
1626987703.9879508,16,20.706987380981445
