Wall time,Step,Value
1627562576.9759085,0,7.135649681091309
1627562765.035296,1,6.93050479888916
1627562952.538027,2,6.929573059082031
1627563140.0150182,3,6.910778999328613
1627563327.466542,4,6.856978416442871
1627563514.8647072,5,6.700544834136963
1627563702.0693786,6,6.448942184448242
1627563889.5171034,7,6.143213272094727
1627564076.2527137,8,5.780591011047363
1627564263.4942412,9,5.4865498542785645
1627564450.3802223,10,5.2928996086120605
1627564637.0740461,11,5.0755791664123535
1627564823.5618181,12,4.966625213623047
1627565009.9088461,13,4.7773051261901855
1627565196.490401,14,4.6611738204956055
1627565383.2730906,15,4.538425922393799
1627565570.3542259,16,4.433982849121094
1627565757.1049623,17,4.320709705352783
1627565943.859314,18,4.2278642654418945
1627566130.8453944,19,4.154105186462402
1627566317.7981913,20,4.079782962799072
1627566504.982711,21,4.0106425285339355
1627566692.3213608,22,3.9473185539245605
1627566878.9115472,23,3.875977039337158
1627567066.458843,24,3.8057804107666016
1627567253.442598,25,3.750180244445801
1627567440.4243586,26,3.7052273750305176
1627567627.47499,27,3.6572372913360596
1627567814.3585098,28,3.63415265083313
1627568000.9453673,29,3.5633301734924316
1627568187.5980535,30,3.533371686935425
