Wall time,Step,Value
1626944019.6047823,0,3.601534843444824
1626944296.1890962,1,2.616008996963501
1626944573.1192799,2,1.5425776243209839
1626944849.9939814,3,1.0617742538452148
1626945126.9806414,4,0.8533830642700195
1626945404.148832,5,0.7282633185386658
1626945681.0678825,6,0.6498754024505615
1626945958.5968616,7,0.5840250253677368
1626946235.8488362,8,0.5269618034362793
1626946512.6838365,9,0.47932714223861694
1626946789.6216655,10,0.44143950939178467
1626947066.6926942,11,0.4030137360095978
1626947343.8733995,12,0.37782102823257446
1626947621.1522217,13,0.3501109182834625
1626947897.892611,14,0.3243457078933716
1626948174.902267,15,0.3082866370677948
1626948451.330393,16,0.2912485599517822
1626948728.6778283,17,0.281166672706604
1626949005.8067749,18,0.2772122621536255
1626949282.557574,19,0.27492889761924744
