Wall time,Step,Value
1626951363.3753011,0,7.279340744018555
1626953616.1526437,1,6.555218696594238
1626955867.485049,2,6.235781192779541
1626958121.3361177,3,6.006786346435547
1626960398.5369837,4,5.798654079437256
1626962667.1552243,5,5.622975826263428
1626964935.466911,6,5.481710433959961
1626967203.0210996,7,5.346381664276123
1626969477.6091897,8,5.223783016204834
1626971746.6334531,9,5.104206085205078
1626974025.0161722,10,4.982524871826172
1626976294.2069576,11,4.871248722076416
1626978576.0278804,12,4.754512786865234
1626980854.1200604,13,4.649880886077881
1626983132.3164947,14,4.542706489562988
1626985412.0535896,15,4.457025527954102
1626987703.987846,16,4.401049613952637
