Wall time,Step,Value
1626990718.0817046,0,1.0977057218551636
1626990899.9013057,1,1.0457872152328491
1626991085.2582293,2,1.525415301322937
1626991269.4494178,3,1.8690664768218994
1626991453.3544142,4,2.0075159072875977
1626991636.9564073,5,2.2028284072875977
1626991819.855168,6,2.6206486225128174
1626992003.47658,7,3.602155923843384
1626992187.5208185,8,4.744363307952881
1626992370.4980812,9,5.562697887420654
1626992553.89264,10,6.274723052978516
1626992736.9926183,11,6.8878560066223145
1626992919.2393227,12,8.306962013244629
1626993101.517996,13,9.367583274841309
1626993284.6729774,14,10.168611526489258
1626993466.7964249,15,10.989418983459473
1626993649.0732355,16,11.352848052978516
1626993831.4565442,17,11.800335884094238
1626994015.9043093,18,12.13656997680664
1626994197.0488873,19,12.378856658935547
1626994380.4790554,20,12.712618827819824
1626994563.8301332,21,13.409810066223145
1626994746.9094622,22,13.64962387084961
1626994928.9150407,23,14.010581016540527
1626995111.041048,24,14.38390064239502
1626995293.2044613,25,14.581685066223145
1626995475.9636626,26,14.512460708618164
1626995658.8701549,27,14.826443672180176
1626995841.577824,28,14.485264778137207
1626996024.1586816,29,14.539655685424805
